List Name,List Title,URL
APPLAUSENU,Applause for a Cause,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=APPLAUSENU
AR-STAFF,AR-STAFF,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AR-STAFF
ARABICEVENTS,ARABICEVENTS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARABICEVENTS
ARABSTUDENTORG,Arab Student Organization,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARABSTUDENTORG
ARCC-ROUND5,ARCC Seed Grantee Round 5,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC-ROUND5
ARCC_COMMUNITY,ARCC Community Supporters,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_COMMUNITY
ARCC_CORR,COmmunity Research Readiness,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_CORR
ARCC_ROUND1,ARCC Seed Grant Round 1 Recipients,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_ROUND1
ARCC_ROUND2,ARCC Seed Grant Round 2 Recipients,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_ROUND2
ARCC_ROUND3,ARCC Seed Grant Round 3 Recipients,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_ROUND3
ARCC_ROUND4,ARCC Seed Grant Round 4 Recipients,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_ROUND4
ARCC_ROUND5,ARCC Round 5 Seed Grantees,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_ROUND5
ARCC_SC_CBO,ARCC Steering Committee Members CBOs Only,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCC_SC_CBO
ARCHERY,NU Archery Club,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCHERY
ARCHERYTEAM,NU Archery Team,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCHERYTEAM
ARCHON-USERS,Northwestern University Library Archon Users,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARCHON-USERS
ARNAZTEST,ArnazTest to create,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARNAZTEST
ART-HPC,A&RT HPC Services,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ART-HPC
ART-SERVICES,ART-SERVICES,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ART-SERVICES
ARTSINCOMMUNITY,Arts in the Community,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARTSINCOMMUNITY
ARTSTU,Art Collection Student Assistants List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ARTSTU
ASA_NU,ASA_NU,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASA_NU
ASB,ASB,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASB
ASBEXEC,ASBEXEC,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASBEXEC
ASCE,ASCE,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASCE
ASG,All ASG Members,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASG
ASG-EXECBOARD,ASG-EXECBOARD,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASG-EXECBOARD
ASGDIVERSITY,ASG Diversity and Inclusion Committee,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASGDIVERSITY
ASGNEWS,Student government news and updates for NU undergrads,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASGNEWS
ASGOFFCAMPUS,ASG Off Campus Caucus,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASGOFFCAMPUS
ASGPR,ASG Public Relations Committee,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASGPR
ASGSENATORS,ASGSENATORS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASGSENATORS
ASGSTUDENTGROUPS,ASG-recognized Student Groups,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASGSTUDENTGROUPS
ASG_ASTATUS,ASG A-Status Groups,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASG_ASTATUS
ASG_B-TSTATUS,ASG B- and T-Status Groups,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASG_B-TSTATUS
ASIACOMMUNITY,Asia-related Events Northwestern and Beyond,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASIACOMMUNITY
ASIAMAJORS,ASIAMAJORS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASIAMAJORS
ASLCLUB,ASLCLUB,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASLCLUB
ASLWORKSHOP,ASL Workshop for Beginners,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASLWORKSHOP
ASOG,Access Services Operations Group - NUL,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASOG
ASSEMBLY,ASSEMBLY,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASSEMBLY
ASSESS-NUL,Library Assessment Committee,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASSESS-NUL
ASTRO-SUMMER,Astro Summer Researchers,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ASTRO-SUMMER
AT-CONS,All Academic Technology consultants,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AT-CONS
AT-STAFF,AT-STAFF,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AT-STAFF
AUTISMSPEAKSNU,Autism Speaks NU,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AUTISMSPEAKSNU
AWAKEACAPELLA,Awake! Social Commentary and Contemporary Music A Capella,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AWAKEACAPELLA
AWC,Association for Women in Chemistry,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AWC
AXHOUSE,AXHOUSE,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AXHOUSE
AYS,AYS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AYS
B-ODOM-GROUP,Odom Group,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=B-ODOM-GROUP
B-SPORE,Breast SPORE Mailing List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=B-SPORE
BACKGAMMON,Northwestern Backgammon Club,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BACKGAMMON
BADMINTON,BADMINTON,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BADMINTON
BALLETFOLKLORICO,Ballet Folklorico Mexicano de Northwestern,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BALLETFOLKLORICO
BANDSTAPH,BANDSTAPH,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BANDSTAPH
BASICSCIENCE-ALL,All Members of Basic Science Div.,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BASICSCIENCE-ALL
BAUMGARTNER13,Baumgartner Class 2013 Announcements,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BAUMGARTNER13
BA_2010_LUTZ,"Business Associations, Prof. Lutz, Summer '10",https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BA_2010_LUTZ
BBOOGLE-COMM,Bboogle Community Mailing List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BBOOGLE-COMM
BCCLIST,BCCLIST,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BCCLIST
BCOA-METHODS,BCOA-METHODS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BCOA-METHODS
BEHAVMED,BEHAVMED,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BEHAVMED
BETHEMATCH,Be the Match Northwestern Listserv,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BETHEMATCH
BETHLSF,BETHLSF,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BETHLSF
BGSALIST,BGSALIST,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BGSALIST
BI-TEAM,BI-TEAM,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BI-TEAM
BIBSUPPORT,Bib Support,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIBSUPPORT
BIENEN_SAB,Bienen School of Music Student Advisory Board,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIENEN_SAB
BIGDATA_BOOTCAMP,Big Data Initiative,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIGDATA_BOOTCAMP
BIKE-COMMUTERS,Bike Commuters and Riders,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIKE-COMMUTERS
BINDING-AFFINITY,Binding Affinity: Northwestern's Popular Science Book Club,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BINDING-AFFINITY
BIOANTH,BIOANTH,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOANTH
BIOCHEM-ALL,To Communicate with All Biochemistry Members,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOCHEM-ALL
BIOCHEM-BIWEEKLY,To Communicate with BiWeekly Biochemistry Members,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOCHEM-BIWEEKLY
BIOCHEM-FACULTY,To Communicate with Biochemistry Faculty Members,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOCHEM-FACULTY
BIOCHEM-POSTDOCS,To Communicate with Biochemistry PostDoc Members,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOCHEM-POSTDOCS
BIOCHEM-SECONDAR,To Communicate with Biochemistry Secondary Faculty Members,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOCHEM-SECONDAR
BIOCHEM-STUDENTS,To Communicate with Biochemistry Student Members,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOCHEM-STUDENTS
BIOEXCEL,BioEXCEL students,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOEXCEL
BIOINFORM-DEV,BIOINFORM-DEV,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOINFORM-DEV
BIOPROFESSIONAL,BioProfessional Series,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOPROFESSIONAL
BIOTECH,BIOTECH,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIOTECH
BIP,BIP,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIP
BIP-TRADING,BIP Trading Lab Sessions,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BIP-TRADING
BLACKBOARD,BlackBoard/Pulse Magazine Staff Minutes/BUDGET/Announcements,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BLACKBOARD
BLACKBOARD-ADM,BLACKBOARD-ADM,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BLACKBOARD-ADM
BLAST,STUDORG: Ballroom Latin and Swing Thing Competition Team,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BLAST
